value,persona_id
Я уважаю людей.,0
У меня есть собака,1
Я бегаю по утрам,2
у меня трое детей,3
Я ещё учусь.,4
Я был в 12-ти странах.,5
у меня есть попугай,6
Люблю играть на гитаре,7
Я живу за границей,8
У меня светлые волосы,9
Люблю лыжи.,10
я штукатур маляр,11
Я люблю вино,12
Мне 30 лет,13
По образованию я экономист.,14
В браке состою.,15
Я люблю шить,16
Я люблю гулять,17
У нас свой зоопарк.,18
Я женат.,19
Люблю слушать Моцарта.,20
Мне нравится танцевать.,21
Я ценю своё время,22
Люблю осень,23
мое хобби читать книги,24
Я работаю ночью.,25
Я люблю автомобили.,26
Мне 12 лет,27
Я живу у моря,28
У меня есть сын.,29
я люблю вкусно поесть,30
Я играю в КВН.,31
У меня есть садовый участок.,32
У меня нет работы.,33
Живу в Украине.,34
я люблю зимнюю рыбалку,35
Я люблю гулять пешком.,36
У меня двое детей,37
Я люблю животных.,38
Родителей очень люблю.,39
Люблю обнимашки,40
У меня трое детей,41
Я женился,42
У меня есть машина.,43
У меня есть сын,44
Хочу жить в Москве.,45
Я проектант,46
Я стану врачом.,47
Я будущий адвокат.,48
люблю конфеты,49
люблю красивые вещи,50
У меня есть кот.,51
У ношу очки.,52
Хочу выучить английский,53
Учу правильно питаться,54
Я люблю шумные компании,55
Обожаю спорт.,56
Любимый цвет - белый.,57
Крашу волосы.,58
Мне нравится весна.,59
Любимый фильм-Титаник.,60
у меня трое детей,61
У меня живет восемь кошек.,62
У меня есть собака и кот,63
Я директор.,64
У меня есть внучка.,65
работаю официантом,66
У меня двое детей.,67
Я играю в игры на пк.,68
У меня близняшки,69
Играю в танки,70
Мне нравятся цветы.,71
У меня большая собака.,72
У меня есть девушка.,73
Я женат.,74
У меня есть супруга,75
Я живу с бабушкой,76
Я люблю компьютерные игры,77
Я люблю готовить.,78
У меня 2 детей.,79
Изучаю английский язык.,80
люблю математику,81
Я вышла замуж за друга.,82
У меня трое внуков.,83
был женат сорок лет,84
